,Rangking,Title,Artist,Date,Source Site,agency
283,84,"다시 난, 여기",백예린,5-19,Genie Music,블루바이닐
284,85,민들레,볼빨간사춘기,5-19,Genie Music,쇼파르뮤직
285,86,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽,5-19,Genie Music,마크툽컴퍼니 (대표)
286,87,니 소식,송하예,5-19,Genie Music,무소속
287,88,Stuck With U,Ariana Grande & Justin Bieber,5-19,Genie Music,무소속
288,89,니가 왜 거기서 나와 (Narr. 고은아),영탁,5-19,Genie Music,"뉴에라프로젝트, 밀라그로"
289,90,잘 지내고 있는지 궁금해,V.O.S,5-19,Genie Music,무소속
290,91,뱉어 (Spit it out),솔라,5-19,Genie Music,RBW
291,92,I'm in Trouble,뉴이스트,5-19,Genie Music,플레디스
292,93,그때가 좋았어,케이시 (Kassy),5-19,Genie Music,넥스타엔터테인먼트
293,94,밤편지,아이유,5-19,Genie Music,EDAM엔터테인먼트
294,95,"아무렇지 않게, 안녕",박혜원,5-19,Genie Music,"비오디엔터테인먼트, 엔터테인먼트 뉴오더"
295,96,그대라는 시,태연,5-19,Genie Music,SM엔터테인먼트
296,97,막걸리 한잔,영탁,5-19,Genie Music,"뉴에라프로젝트, 밀라그로"
297,98,오늘의 기분,CHEEZE (치즈),5-19,Genie Music,매직스트로베리사운드
298,99,넌 언제나,제이레빗 (J Rabbit),5-19,Genie Music,friendz
299,100,있어줘요,장덕철,5-19,Genie Music,리메즈 엔터테인먼트
300,1,에잇(Prod.&Feat. SUGA of BTS),아이유,5-19,Melon Music,EDAM엔터테인먼트
301,2,아로하,조정석,5-19,Melon Music,잼엔터테인먼트
302,3,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,5-19,Melon Music,쇼파르뮤직
303,4,살짝 설렜어 (Nonstop),오마이걸,5-19,Melon Music,WM엔터테인먼트
304,5,처음처럼,엠씨더맥스,5-19,Melon Music,325E&C
305,6,시작,가호 (Gaho),5-19,Melon Music,인넥스트트렌드
306,7,덤더럼(Dumhdurum),에이핑크,5-19,Melon Music,플레이엠엔터테인먼트
307,8,좋은 사람 있으면 소개시켜줘,조이,5-19,Melon Music,SM엔터테인먼트
308,9,Happy,태연,5-19,Melon Music,SM엔터테인먼트
